Zone,Date,pc_visits,pc_visits_roll3,pc_visits_pct_change,ehs_responses,ehs_responses_roll3,ehs_responses_pct_change,responses_zscore
Eastern,2022-10-01,6268.0,6705.333333333333,-0.1514823338297007,2307.0,2038.3333333333333,0.189788550799381,1.275545720928734
Eastern,2022-11-01,7858.0,7171.0,0.2536694320357371,1654.0,1966.6666666666667,-0.2830515821413091,-0.4391349581739394
Eastern,2022-12-01,7889.0,7338.333333333333,0.0039450241791805,1642.0,1867.6666666666667,-0.0072551390568319,-0.4706451697347848
Eastern,2023-01-01,7594.0,7780.333333333333,-0.037393839523387,1982.0,1759.3333333333333,0.2070645554202193,0.422144157822503
Eastern,2023-02-01,8123.0,7868.666666666667,0.0696602580984988,1549.0,1724.3333333333333,-0.2184661957618566,-0.7148493093313371
Eastern,2023-03-01,7411.0,7709.333333333333,-0.0876523451926628,1547.0,1692.6666666666667,-0.0012911555842478,-0.7201010112581446
Eastern,2023-04-01,9709.0,8414.333333333334,0.3100796113884765,2008.0,1701.3333333333333,0.2979961215255333,0.4904162828710015
Eastern,2023-05-01,8840.0,8653.333333333334,-0.0895045833762488,1600.0,1718.3333333333333,-0.2031872509960159,-0.5809309101977439
Eastern,2023-06-01,10934.0,9827.666666666666,0.2368778280542987,1662.0,1756.6666666666667,0.03875,-0.418128150466709
Eastern,2023-07-01,10386.0,10053.333333333334,-0.0501188951893176,2101.0,1787.6666666666667,0.2641395908543922,0.7346204224675538
Eastern,2023-08-01,11248.0,10856.0,0.082996341228577,1602.0,1788.3333333333333,-0.2375059495478343,-0.5756792082709363
Eastern,2023-09-01,12463.0,11365.666666666666,0.1080192034139402,1613.0,1772.0,0.0068664169787764,-0.5467948476734946
Eastern,2023-10-01,11283.0,11664.666666666666,-0.0946802535505094,2046.0,1753.6666666666667,0.2684438933663979,0.5901986194803455
Eastern,2023-11-01,11772.0,11839.333333333334,0.0433395373570859,1672.0,1777.0,-0.1827956989247311,-0.3918696408326712
Eastern,2023-12-01,12152.0,11735.666666666666,0.0322799864084268,2149.0,1955.6666666666667,0.2852870813397128,0.8606612687109356
Northern,2021-04-01,596.0,558.3333333333334,0.2263374485596707,1727.0,944.0,9.726708074534162,-0.6469300049676211
Northern,2021-05-01,547.0,543.0,-0.0822147651006711,2303.0,1397.0,0.3335263462651998,0.7307860908659903
